sr	scenario	group	MLE	Ac	NoEx	ER_MLE	ER_Ac	ER_NoEx
0.2	2	pbtGroup16	1026	1027	1015	1	1	3
0.2	2	pbtGroup17	1257	1260	1248	1	1	8
0.2	2	pbtGroup18	1691	1708	1766	0	-1	15
0.2	2	pbtGroup19	1487	1499	1712	3	1	20
0.2	2	pbtGroup2	494	510	642	2	1	19
0.2	2	pbtGroup20	1735	1764	1980	-2	-3	22
0.2	2	pbtGroup21	1733	1738	1694	-3	-3	0
0.2	2	pbtGroup22	1997	2016	4379	1	0	54
0.2	2	pbtGroup23	1986	2003	2006	1	-1	11
0.2	2	pbtGroup25	4785	4822	7736	6	2	59
0.2	2	pbtGroup3	404	404	404	-1	-1	-1
0.2	2	pbtGroup4	529	530	505	0	0	3
0.2	2	pbtGroup5	512	512	503	0	0	1
0.2	2	pbtGroup6	471	478	447	0	-1	7
0.2	2	pbtGroup7	502	503	476	0	0	4
0.2	2	pbtGroup9	592	592	580	-1	-1	0
