sr	group	type	ER
0.25	pbtGroup18	TotEx	NA
0.25	pbtGroup19	TotEx	NA
0.25	pbtGroup2	TotEx	NA
0.25	pbtGroup20	TotEx	NA
0.25	pbtGroup21	TotEx	NA
0.25	pbtGroup22	TotEx	NA
0.25	pbtGroup23	TotEx	NA
0.25	pbtGroup24	TotEx	NA
0.25	pbtGroup25	TotEx	NA
0.25	pbtGroup3	TotEx	NA
0.25	pbtGroup4	TotEx	NA
0.25	pbtGroup5	TotEx	NA
0.25	pbtGroup6	TotEx	NA
0.25	pbtGroup7	TotEx	NA
0.25	pbtGroup8	TotEx	NA
0.25	pbtGroup9	TotEx	NA
0.3	GSIgroup1	TotEx	7
0.3	GSIgroup10	TotEx	24
0.3	GSIgroup2	TotEx	7
0.3	GSIgroup3	TotEx	13
0.3	GSIgroup4	TotEx	9
0.3	GSIgroup5	TotEx	11
0.3	GSIgroup6	TotEx	-15
0.3	GSIgroup7	TotEx	18
0.3	GSIgroup8	TotEx	-13
0.3	GSIgroup9	TotEx	-52
0.3	pbtGroup1	TotEx	NA
0.3	pbtGroup10	TotEx	NA
0.3	pbtGroup11	TotEx	NA
0.3	pbtGroup12	TotEx	NA
0.3	pbtGroup13	TotEx	NA
0.3	pbtGroup14	TotEx	NA
0.3	pbtGroup15	TotEx	NA
0.3	pbtGroup16	TotEx	NA
0.3	pbtGroup17	TotEx	NA
0.3	pbtGroup18	TotEx	NA
0.3	pbtGroup19	TotEx	NA
0.3	pbtGroup2	TotEx	NA
0.3	pbtGroup20	TotEx	NA
0.3	pbtGroup21	TotEx	NA
0.3	pbtGroup22	TotEx	NA
0.3	pbtGroup23	TotEx	NA
0.3	pbtGroup24	TotEx	NA
0.3	pbtGroup25	TotEx	NA
0.3	pbtGroup3	TotEx	NA
0.3	pbtGroup4	TotEx	NA
0.3	pbtGroup5	TotEx	NA
0.3	pbtGroup6	TotEx	NA
0.3	pbtGroup7	TotEx	NA
0.3	pbtGroup8	TotEx	NA
0.3	pbtGroup9	TotEx	NA
0.35	GSIgroup1	TotEx	9
0.35	GSIgroup10	TotEx	16
0.35	GSIgroup2	TotEx	6
0.35	GSIgroup3	TotEx	9
0.35	GSIgroup4	TotEx	14
0.35	GSIgroup5	TotEx	12
0.35	GSIgroup6	TotEx	-21
0.35	GSIgroup7	TotEx	19
0.35	GSIgroup8	TotEx	-6
0.35	GSIgroup9	TotEx	-58
0.35	pbtGroup1	TotEx	NA
0.35	pbtGroup10	TotEx	NA
0.35	pbtGroup11	TotEx	NA
0.35	pbtGroup12	TotEx	NA
0.35	pbtGroup13	TotEx	NA
0.35	pbtGroup14	TotEx	NA
0.35	pbtGroup15	TotEx	NA
0.35	pbtGroup16	TotEx	NA
0.35	pbtGroup17	TotEx	NA
0.35	pbtGroup18	TotEx	NA
0.35	pbtGroup19	TotEx	NA
0.35	pbtGroup2	TotEx	NA
0.35	pbtGroup20	TotEx	NA
0.35	pbtGroup21	TotEx	NA
0.35	pbtGroup22	TotEx	NA
0.35	pbtGroup23	TotEx	NA
0.35	pbtGroup24	TotEx	NA
0.35	pbtGroup25	TotEx	NA
0.35	pbtGroup3	TotEx	NA
0.35	pbtGroup4	TotEx	NA
0.35	pbtGroup5	TotEx	NA
0.35	pbtGroup6	TotEx	NA
0.35	pbtGroup7	TotEx	NA
0.35	pbtGroup8	TotEx	NA
0.35	pbtGroup9	TotEx	NA
0.4	GSIgroup1	TotEx	5
0.4	GSIgroup10	TotEx	13
0.4	GSIgroup2	TotEx	10
0.4	GSIgroup3	TotEx	10
0.4	GSIgroup4	TotEx	18
0.4	GSIgroup5	TotEx	12
0.4	GSIgroup6	TotEx	-20
0.4	GSIgroup7	TotEx	21
0.4	GSIgroup8	TotEx	-14
0.4	GSIgroup9	TotEx	-54
0.4	pbtGroup1	TotEx	NA
0.4	pbtGroup10	TotEx	NA
0.4	pbtGroup11	TotEx	NA
0.4	pbtGroup12	TotEx	NA
0.4	pbtGroup13	TotEx	NA
0.4	pbtGroup14	TotEx	NA
0.4	pbtGroup15	TotEx	NA
0.4	pbtGroup16	TotEx	NA
0.4	pbtGroup17	TotEx	NA
0.4	pbtGroup18	TotEx	NA
0.4	pbtGroup19	TotEx	NA
0.4	pbtGroup2	TotEx	NA
0.4	pbtGroup20	TotEx	NA
0.4	pbtGroup21	TotEx	NA
0.4	pbtGroup22	TotEx	NA
0.4	pbtGroup23	TotEx	NA
0.4	pbtGroup24	TotEx	NA
0.4	pbtGroup25	TotEx	NA
0.4	pbtGroup3	TotEx	NA
0.4	pbtGroup4	TotEx	NA
0.4	pbtGroup5	TotEx	NA
0.4	pbtGroup6	TotEx	NA
0.4	pbtGroup7	TotEx	NA
0.4	pbtGroup8	TotEx	NA
0.4	pbtGroup9	TotEx	NA
0.05	GSIgroup1	Ac	4
0.05	GSIgroup10	Ac	1
0.05	GSIgroup2	Ac	-4
0.05	GSIgroup3	Ac	-2
0.05	GSIgroup4	Ac	3
0.05	GSIgroup5	Ac	2
0.05	GSIgroup6	Ac	-5
0.05	GSIgroup7	Ac	-6
0.05	GSIgroup8	Ac	2
0.05	GSIgroup9	Ac	9
0.05	pbtGroup1	Ac	0
0.05	pbtGroup10	Ac	-3
0.05	pbtGroup11	Ac	2
0.05	pbtGroup12	Ac	-1
0.05	pbtGroup13	Ac	0
0.05	pbtGroup14	Ac	3
0.05	pbtGroup15	Ac	3
0.05	pbtGroup16	Ac	-1
0.05	pbtGroup17	Ac	-1
0.05	pbtGroup18	Ac	-2
0.05	pbtGroup19	Ac	-1
0.05	pbtGroup2	Ac	-1
0.05	pbtGroup20	Ac	-2
0.05	pbtGroup21	Ac	0
0.05	pbtGroup22	Ac	-4
0.05	pbtGroup23	Ac	0
0.05	pbtGroup24	Ac	-5
0.05	pbtGroup25	Ac	2
0.05	pbtGroup3	Ac	-1
0.05	pbtGroup4	Ac	0
0.05	pbtGroup5	Ac	0
0.05	pbtGroup6	Ac	4
0.05	pbtGroup7	Ac	1
0.05	pbtGroup8	Ac	2
0.05	pbtGroup9	Ac	0
0.075	GSIgroup1	Ac	-3
0.075	GSIgroup10	Ac	8
0.075	GSIgroup2	Ac	1
0.075	GSIgroup3	Ac	2
0.075	GSIgroup4	Ac	0
0.075	GSIgroup5	Ac	0
0.075	GSIgroup6	Ac	4
0.075	GSIgroup7	Ac	-3
0.075	GSIgroup8	Ac	-10
0.075	GSIgroup9	Ac	-6
0.075	pbtGroup1	Ac	-1
0.075	pbtGroup10	Ac	-1
0.075	pbtGroup11	Ac	-3
0.075	pbtGroup12	Ac	2
0.075	pbtGroup13	Ac	2
0.075	pbtGroup14	Ac	4
0.075	pbtGroup15	Ac	1
0.075	pbtGroup16	Ac	-1
0.075	pbtGroup17	Ac	-1
0.075	pbtGroup18	Ac	4
0.075	pbtGroup19	Ac	1
0.075	pbtGroup2	Ac	-1
0.075	pbtGroup20	Ac	4
0.075	pbtGroup21	Ac	7
0.075	pbtGroup22	Ac	4
0.075	pbtGroup23	Ac	-3
0.075	pbtGroup24	Ac	-6
0.075	pbtGroup25	Ac	0
0.075	pbtGroup3	Ac	-3
0.075	pbtGroup4	Ac	-1
0.075	pbtGroup5	Ac	-4
0.075	pbtGroup6	Ac	-1
0.075	pbtGroup7	Ac	1
0.075	pbtGroup8	Ac	2
0.075	pbtGroup9	Ac	-2
0.1	GSIgroup1	Ac	-1
0.1	GSIgroup10	Ac	-4
0.1	GSIgroup2	Ac	0
0.1	GSIgroup3	Ac	1
0.1	GSIgroup4	Ac	1
0.1	GSIgroup5	Ac	-2
0.1	GSIgroup6	Ac	3
0.1	GSIgroup7	Ac	-1
0.1	GSIgroup8	Ac	1
0.1	GSIgroup9	Ac	-2
0.1	pbtGroup1	Ac	0
0.1	pbtGroup10	Ac	-1
0.1	pbtGroup11	Ac	5
0.1	pbtGroup12	Ac	-1
0.1	pbtGroup13	Ac	1
0.1	pbtGroup14	Ac	0
0.1	pbtGroup15	Ac	1
0.1	pbtGroup16	Ac	-2
